prefix_s,project_s,src_db_s,targeted_locus_name_s,div_s,organism_an,bioproject_s,biosample_ss,infra_name_ss,other_src_ss,contigs_total_length_l,contigs_count_l,contigs_proteins_count_l,contigs_annotated_s,scaffolds_count_l,scaffolds_proteins_count_l,scaffolds_total_length_l,scaffolds_annotated_s,scaffolds_range_ss,chromosome_range_ss,update_date_dt,create_date_dt
GBIX01,TSA,GenBank,,PLN,Arachis hypogaea var. vulgaris,PRJNA248910,SAMN02803905,cultivar: OLin CV-75 (PI 631176),"dev_stage: leaf - unopened tetrafoliates\, root - root tips of plants < 30 DAP\, pods - yellow\, brown\, and black mesocarp,tissue_type: leaf\, pod\, root",35225745,58960,0,No,0,0,0,No,,,2015-02-02T00:00:00Z,2014-09-03T00:00:00Z
GBIY01,TSA,GenBank,,PLN,Arachis hypogaea var. vulgaris,PRJNA248910,SAMN02803905,cultivar: OLin CV-75 (PI 631176),"dev_stage: leaf - unopened tetrafoliates\, root - root tips of plants < 30 DAP\, pods - yellow\, brown\, and black mesocarp,tissue_type: leaf\, pod\, root",57312683,70752,0,No,0,0,0,No,,,2015-02-02T00:00:00Z,2015-02-02T00:00:00Z
GBIZ01,TSA,GenBank,,PLN,Arachis hypogaea var. vulgaris,PRJNA248910,SAMN02803905,cultivar: OLin CV-75 (PI 631176),"dev_stage: leaf - unopened tetrafoliates\, root - root tips of plants < 30 DAP\, pods - yellow\, brown\, and black mesocarp,tissue_type: leaf\, pod\, root",56600858,51407,0,No,0,0,0,No,,,2015-02-02T00:00:00Z,2015-02-02T00:00:00Z
GBJB01,TSA,GenBank,,PLN,Andrographis paniculata,PRJNA247458,SAMN02777339,cultivar: Megha,tissue_type: Leaf,88933560,83800,0,No,0,0,0,No,,,2015-03-26T00:00:00Z,2015-03-26T00:00:00Z
GBJE01,TSA,GenBank,,PLN,Arachis hypogaea var. vulgaris,PRJNA248910,SAMN02803905,cultivar: OLin CV-75 (PI 631176),"dev_stage: leaf - unopened tetrafoliates\, root - root tips of plants < 30 DAP\, pods - yellow\, brown\, and black mesocarp,tissue_type: leaf\, pod\, root",74574575,66989,0,No,0,0,0,No,,,2015-02-02T00:00:00Z,2014-09-04T00:00:00Z
GBJF01,TSA,GenBank,,PLN,Arachis duranensis,PRJNA248910,SAMN02803902,cultivar: KSSc 38901 (PI 497483),"dev_stage: leaf - unopened tetrafoliates\, root - root tips of plants < 30 DAP\, pods - yellow\, brown\, and black mesocarp,tissue_type: leaf\, pod\, root",30443387,33145,0,No,0,0,0,No,,,2015-02-02T00:00:00Z,2014-09-04T00:00:00Z
GBJG01,TSA,GenBank,,PLN,Arachis ipaensis,PRJNA248910,SAMN02803903,cultivar: KGBPScS30076 (PI 468322),"dev_stage: leaf - unopened tetrafoliates\, root - root tips of plants < 30 DAP\, pods - yellow\, brown\, and black mesocarp,tissue_type: leaf\, pod\, root",22158542,29786,0,No,0,0,0,No,,,2015-02-02T00:00:00Z,2014-09-05T00:00:00Z
GBJH01,TSA,GenBank,,PLN,Arachis hypogaea var. vulgaris,PRJNA248910,SAMN02803905,cultivar: OLin CV-75 (PI 631176),"dev_stage: leaf - unopened tetrafoliates\, root - root tips of plants < 30 DAP\, pods - yellow\, brown\, and black mesocarp,tissue_type: leaf\, pod\, root",30067853,45879,0,No,0,0,0,No,,,2015-02-02T00:00:00Z,2014-09-05T00:00:00Z
GBJI01,TSA,GenBank,,PLN,Arachis hypogaea var. vulgaris,PRJNA248910,SAMN02803905,cultivar: OLin CV-75 (PI 631176),"dev_stage: leaf - unopened tetrafoliates\, root - root tips of plants < 30 DAP\, pods - yellow\, brown\, and black mesocarp,tissue_type: leaf\, pod\, root",214940405,244114,0,No,0,0,0,No,,,2015-02-02T00:00:00Z,2014-09-04T00:00:00Z
GBJK01,TSA,GenBank,,PLN,Arachis duranensis,PRJNA248910,SAMN02803902,cultivar: KSSc 38901 (PI 497483),"dev_stage: leaf - unopened tetrafoliates\, root - root tips of plants < 30 DAP\, pods - yellow\, brown\, and black mesocarp,tissue_type: leaf\, pod\, root",62002319,70200,0,No,0,0,0,No,,,2015-02-02T00:00:00Z,2015-02-02T00:00:00Z
GBJL01,TSA,GenBank,,PLN,Arachis ipaensis,PRJNA248910,SAMN02803903,cultivar: KGBPScS30076 (PI 468322),"dev_stage: leaf - unopened tetrafoliates\, root - root tips of plants < 30 DAP\, pods - yellow\, brown\, and black mesocarp,tissue_type: leaf\, pod\, root",27910781,30764,0,No,0,0,0,No,,,2015-02-02T00:00:00Z,2014-09-05T00:00:00Z
GBJO01,TSA,GenBank,,PLN,Mangifera indica,PRJNA254771,SAMN02905156,cultivar: Keitt,"tissue_type: young leaves\, young inflorescences\, young fruit\, flesh and peels of mature fruit",44608706,47956,0,No,0,0,0,No,,,2015-11-18T00:00:00Z,2015-07-14T00:00:00Z
GBJP01,TSA,GenBank,,PLN,Arachis ipaensis,PRJNA248910,SAMN02803903,cultivar: KGBPScS30076 (PI 468322),"dev_stage: leaf - unopened tetrafoliates\, root - root tips of plants < 30 DAP\, pods - yellow\, brown\, and black mesocarp,tissue_type: leaf\, pod\, root",52954773,64014,0,No,0,0,0,No,,,2015-02-02T00:00:00Z,2014-09-05T00:00:00Z
GBJY01,TSA,GenBank,,PLN,Sinopodophyllum hexandrum,PRJNA258431,SAMN02997652,cultivar: Royle,tissue_type: Rhizome,17967934,35403,0,No,0,0,0,No,,,2014-09-02T00:00:00Z,2014-09-02T00:00:00Z
GBKQ01,TSA,GenBank,,PLN,Camellia sinensis var. sinensis,PRJNA257942,SAMN02980903,cultivar: zhongcha302,tissue_type: root,35892358,63798,0,No,0,0,0,No,,,2015-05-05T00:00:00Z,2015-05-05T00:00:00Z
GBKW01,TSA,GenBank,,PLN,Olea europaea,PRJNA256033,"SAMN02937426,SAMN02937427,SAMN02937428,SAMN02937429,SAMN02937430,SAMN02937431,SAMN02937432,SAMN02937433,SAMN02937434,SAMN02937435,SAMN02937436,SAMN02937437,SAMN02937438",cultivar: Picual,,85805151,157699,0,No,0,0,0,No,,,2014-12-11T00:00:00Z,2014-12-11T00:00:00Z
GBLK01,TSA,GenBank,,PLN,Mesembryanthemum crystallinum,PRJNA217685,"SAMN02732138,SAMN02732139",,,36623934,24204,0,No,0,0,0,No,,,2016-04-28T00:00:00Z,2015-09-15T00:00:00Z
GBRC01,TSA,GenBank,,PLN,Camellia sinensis,PRJNA261465,SAMN03074207,cultivar: Kuntze,tissue_type: Leaf,15304721,33639,0,No,0,0,0,No,,,2014-10-01T00:00:00Z,2014-10-01T00:00:00Z
GBRI01,TSA,GenBank,,PLN,Litchi chinensis,PRJNA260972,SAMN03067869,cultivar: Feizixiao,tissue_type: pericarp,37673168,51086,0,No,0,0,0,No,,,2014-10-14T00:00:00Z,2014-10-14T00:00:00Z
GBRK01,TSA,GenBank,,PLN,Limonium bicolor,PRJNA229366,"SAMN02414998,SAMN02414999,SAMN02415000,SAMN02415001,SAMN02415002",,,49305811,40504,0,No,0,0,0,No,,,2016-11-21T00:00:00Z,2016-11-21T00:00:00Z
GBRP01,TSA,GenBank,,PLN,Lupinus angustifolius,PRJNA248164,"SAMN02794004,SAMN02794005,SAMN02794006,SAMN02794007,SAMN02794008",cultivar: Tanjil,,48939236,89690,0,No,0,0,0,No,,,2014-11-19T00:00:00Z,2014-11-18T00:00:00Z
GBRS01,TSA,GenBank,,PLN,Calluna vulgaris,PRJNA257490,"SAMN02952080,SAMN02952081",,tissue_type: flower,5870981,12793,0,No,0,0,0,No,,,2015-01-26T00:00:00Z,2015-01-26T00:00:00Z
GBRT01,TSA,GenBank,,PLN,Petunia exserta,PRJNA262142,"SAMN03081321,SAMN03081322,SAMN03081324,SAMN03081325,SAMN03081326",,,89191713,54913,0,No,0,0,0,No,,,2015-10-01T00:00:00Z,2015-10-01T00:00:00Z
GBRU01,TSA,GenBank,,PLN,Petunia axillaris,PRJNA261953,"SAMN03078224,SAMN03078225,SAMN03078227,SAMN03078228,SAMN03078230",,,127786792,74572,0,No,0,0,0,No,,,2015-10-01T00:00:00Z,2015-10-01T00:00:00Z
GBRV01,TSA,GenBank,,PLN,Petunia integrifolia,PRJNA262254,"SAMN03082082,SAMN03082083,SAMN03082084,SAMN03082085,SAMN03082086",,,172425034,104738,0,No,0,0,0,No,,,2015-10-01T00:00:00Z,2015-10-01T00:00:00Z
GBRY01,TSA,GenBank,,PLN,Primula vulgaris,PRJNA260472,"SAMN03023647,SAMN03023648,SAMN03023649,SAMN03023650,SAMN03023651,SAMN03023652",,,2116772,1329,0,No,0,0,0,No,,,2015-07-01T00:00:00Z,2015-07-01T00:00:00Z
GBSD01,TSA,GenBank,,PLN,Corchorus capsularis,PRJNA255934,SAMN02934031,cultivar: JRC-212,"dev_stage: Vegetative growth stage,tissue_type: Bast",49263066,34163,0,No,0,0,0,No,,,2015-02-17T00:00:00Z,2015-02-17T00:00:00Z
GBSE01,TSA,GenBank,,PLN,Corchorus capsularis,PRJNA255934,SAMN02934032,cultivar: dlpf,"dev_stage: Vegetative growth stage,tissue_type: Bast",33456956,29463,0,No,0,0,0,No,,,2015-02-17T00:00:00Z,2015-02-17T00:00:00Z
GBSJ01,TSA,GenBank,,PLN,Diospyros lotus,PRJNA261339,"SAMN02943273,SAMN02943274,SAMN02943275,SAMN02943276,SAMN02943277,SAMN02943283,SAMN02943295,SAMN02943296,SAMN02943297,SAMN02943298,SAMN02943299,SAMN02943301,SAMN02943303,SAMN02943308,SAMN02943312,SAMN02943319,SAMN02943321,SAMN02943322,SAMN03072677,SAMN03072678",,,240022110,413775,0,No,0,0,0,No,,,2014-11-06T00:00:00Z,2014-11-06T00:00:00Z
GBSN01,TSA,GenBank,,PLN,Lathyrus sativus,PRJNA258356,"SAMN02997647,SAMN02997648",,,52254802,64392,0,No,0,0,0,No,,,2014-10-27T00:00:00Z,2014-10-27T00:00:00Z
GBSS01,TSA,GenBank,,PLN,Lathyrus sativus,PRJNA258356,"SAMN02997649,SAMN02997650",,,50346209,58600,0,Yes,0,0,0,No,,,2014-10-27T00:00:00Z,2014-10-27T00:00:00Z
GBSW01,TSA,GenBank,,PLN,Calluna vulgaris,PRJNA257490,"SAMN02952080,SAMN02952081",,tissue_type: flower,5091456,10896,0,No,0,0,0,No,,,2015-01-26T00:00:00Z,2015-01-26T00:00:00Z
GBSY01,TSA,GenBank,,PLN,Andrographis paniculata,PRJNA188661,SAMN01915660,strain: IC-111287,,19822291,22402,0,No,0,0,0,No,,,2016-11-21T00:00:00Z,2016-11-21T00:00:00Z
GBTO01,TSA,GenBank,,PLN,Plectranthus barbatus,PRJNA259588,SAMN03009673,,"tissue_type: Leaf\, root\, flower",1799826,2380,0,No,0,0,0,No,,,2016-05-02T00:00:00Z,2016-05-02T00:00:00Z
GBVW01,TSA,GenBank,,PLN,Mangifera indica,PRJNA193588,SAMN01993559,cultivar: Neelam,tissue_type: leaf,13899172,27486,0,No,0,0,0,No,,,2016-01-13T00:00:00Z,2015-11-16T00:00:00Z
GBVX01,TSA,GenBank,,PLN,Mangifera indica,PRJNA193591,SAMN01993560,cultivar: Dashehari,,9109369,20757,0,No,0,0,0,No,,,2016-01-13T00:00:00Z,2015-11-20T00:00:00Z
GBXB01,TSA,GenBank,,PLN,Banksia hookeriana,PRJNA263428,"SAMN03100366,SAMN03100367,SAMN03100368,SAMN03100369",cultivar: Meissner,,64756860,58916,0,No,0,0,0,No,,,2014-11-06T00:00:00Z,2014-11-06T00:00:00Z
GBXG01,TSA,GenBank,,PLN,Hypericum perforatum,PRJNA266601,"SAMN03174160,SAMN03174161,SAMN03174162,SAMN03174163,SAMN03174164,SAMN03174165,SAMN03174166,SAMN03174167",,,66819,71,0,No,0,0,0,No,,,2015-04-22T00:00:00Z,2015-04-22T00:00:00Z
GBXL01,TSA,GenBank,,PLN,Pyrus communis,PRJNA255920,"SAMN02929682,SAMN02929683,SAMN02929684,SAMN02929685,SAMN02929686,SAMN02929687,SAMN02929688,SAMN02929689,SAMN02929690,SAMN02929691,SAMN02929692,SAMN02929693",,,92135470,101109,0,No,0,0,0,No,,,2015-10-13T00:00:00Z,2015-08-31T00:00:00Z
GBXO01,TSA,GenBank,,PLN,Vigna radiata,PRJNA260767,SAMN03068099,,tissue_type: hypocotyl,65474901,78617,0,No,0,0,0,No,,,2015-07-22T00:00:00Z,2015-01-05T00:00:00Z
GBXP01,TSA,GenBank,,PLN,Vitis vinifera,PRJNA267743,SAMN03200077,cultivar: Cabernet Sauvignon,"dev_stage: berry development,tissue_type: berry",41987397,52310,0,No,0,0,0,No,,,2014-12-17T00:00:00Z,2014-12-17T00:00:00Z
GBYA01,TSA,GenBank,,PLN,Jatropha curcas,PRJNA265802,SAMN03152301,cultivar: wild type,tissue_type: Inflorescences,17409743,23354,0,No,0,0,0,No,,,2015-03-09T00:00:00Z,2014-12-01T00:00:00Z
GBYE01,TSA,GenBank,,PLN,Acacia koa,PRJNA268386,SAMN03106213,,,53302741,81070,40,Yes,0,0,0,No,,,2015-07-28T00:00:00Z,2015-07-28T00:00:00Z
GBYK01,TSA,GenBank,,PLN,Gossypium arboreum,PRJNA269608,SAMN02316113,strain: A2,,1186499,2096,0,No,0,0,0,No,,,2015-07-06T00:00:00Z,2015-01-13T00:00:00Z
GAAC01,TSA,GenBank,,PLN,Camellia sinensis var. sinensis,PRJNA167330,,cultivar: Fudingdabaicha,tissue_type: flowers,23948363,52919,0,No,0,0,0,No,,,2013-12-09T00:00:00Z,2012-09-25T00:00:00Z
GAAG01,TSA,GenBank,,PLN,Panax ginseng,PRJNA173906,,,,37850091,67786,0,No,0,0,0,No,,,2013-05-21T00:00:00Z,2013-02-12T00:00:00Z
GAAW01,TSA,GenBank,,PLN,Humulus lupulus,PRJNA175602,"SAMN01180278,SAMN01180281,SAMN01180282,SAMN01180283,SAMN01180284,SAMN01180285,SAMN01180286,SAMN01180287,SAMN01180288,SAMN01180289,SAMN01180290",,"tissue_type: leaf\, cone; lupulin gland",130455837,174938,0,No,0,0,0,No,,,2015-07-20T00:00:00Z,2012-11-20T00:00:00Z
GAAY01,TSA,GenBank,,PLN,Lonicera japonica,PRJNA176093,,,tissue_type: bud; leaf,19247213,18860,0,No,0,0,0,No,,,2013-05-10T00:00:00Z,2013-05-10T00:00:00Z
GABG01,TSA,GenBank,,PLN,Ipomoea purpurea,PRJNA175931,"SAMN01729313,SAMN01729314,SAMN01729315,SAMN01729316,SAMN01729317,SAMN01729318",,"dev_stage: petals 90 and 114 hours before flowering; sepals 114 hours before flowering; colored limb and floral tube 60 hours before flowering; young leaves about 1.7 cm in diameter,tissue_type: petals; sepals; limb; tube; leaves",58964163,61933,0,No,0,0,0,No,,,2015-07-20T00:00:00Z,2013-09-26T00:00:00Z
GABJ01,TSA,GenBank,,PLN,Caragana korshinskii,PRJNA173197,SAMN01166070,,,13930479,45305,0,No,0,0,0,No,,,2015-07-20T00:00:00Z,2013-10-18T00:00:00Z
GABL01,TSA,GenBank,,PLN,Camelina sativa,PRJNA172411,,,,71866018,103047,0,No,0,0,0,No,,,2013-05-21T00:00:00Z,2013-03-12T00:00:00Z
GABO01,TSA,GenBank,,PLN,Camelina sativa,PRJNA172411,,,,21397566,54141,0,No,0,0,0,No,,,2013-05-21T00:00:00Z,2013-03-12T00:00:00Z
GABQ01,TSA,GenBank,,PLN,Olea europaea,PRJNA177329,SAMN01761013,,tissue_type: meristem; fruit,38006553,81020,0,No,0,0,0,No,,,2015-07-20T00:00:00Z,2013-03-15T00:00:00Z
GACB01,TSA,GenBank,,PLN,Lotus corniculatus,PRJNA77207,SAMN00759026,,dev_stage: flowering stage,29702713,45563,0,No,0,0,0,No,,,2015-07-20T00:00:00Z,2013-06-10T00:00:00Z
GACD01,TSA,GenBank,,PLN,Catharanthus roseus,PRJNA174442,SAMN1798283,,,106759146,86107,0,No,0,0,0,No,,,2012-12-04T00:00:00Z,2012-12-04T00:00:00Z
GACE01,TSA,GenBank,,PLN,Rauvolfia serpentina,PRJNA176963,SAMN1798285,,,112892199,99504,0,No,0,0,0,No,,,2012-12-04T00:00:00Z,2012-12-04T00:00:00Z
