id,prefix_s,project_s,src_db_s,targeted_locus_name_s,div_s,organism_an,bioproject_s,biosample_ss,infra_name_ss,other_src_ss,contigs_total_length_l,contigs_count_l,contigs_proteins_count_l,contigs_annotated_s,scaffolds_count_l,scaffolds_proteins_count_l,scaffolds_total_length_l,scaffolds_annotated_s,scaffolds_range_ss,chromosome_range_ss,update_date_dt,create_date_dt
49,GFVI01,TSA,GenBank,,PLN,Aeschynomene evenia var. serrulata,PRJNA396532,SAMN07427877,cultivar: IRFL6945,"dev_stage: mature nodule,tissue_type: mixed tissues (Roots were collected before inoculation (T0)\, 6 hours post-inoculation (6 HPI)\, 24 HPI\, 2 days post-inoculation (2 DPI) and 6 DPI)",38950224,46935,0,No,0,0,0,No,,,2017-08-28T00:00:00Z,2017-08-28T00:00:00Z
695,GDFY01,TSA,GenBank,,PLN,Aethionema arabicum,PRJNA283303,SAMN03761935,cultivar: 84-56-2,"dev_stage: Multiple,tissue_type: Mixture of Tissues",747705,706,0,No,0,0,0,No,,,2015-07-09T00:00:00Z,2015-07-09T00:00:00Z
705,GDGI01,TSA,GenBank,,PLN,Aethionema arabicum,PRJNA283303,SAMN03761934,cultivar: ES1020,"dev_stage: Multiple,tissue_type: Mixture of Tissues",584527,686,0,No,0,0,0,No,,,2015-07-09T00:00:00Z,2015-07-09T00:00:00Z
763,GDQO01,TSA,GenBank,,PLN,Aethionema carneum,PRJNA293006,SAMN03995892,,"dev_stage: from seedling to adult,tissue_type: leaves\, roots\, shoots\, flowers and fruits",48087634,48442,0,No,0,0,0,No,,,2015-11-03T00:00:00Z,2015-11-03T00:00:00Z
766,GDRI01,TSA,GenBank,,PLN,Aethionema grandiflorum,PRJNA293008,SAMN03995894,,"dev_stage: from seedling to adult,tissue_type: leaves\, shoots",14856006,18302,0,No,0,0,0,No,,,2015-10-07T00:00:00Z,2015-10-07T00:00:00Z
433,GALD01,TSA,GenBank,,PLN,Agapanthus praecox subsp. orientalis,PRJNA203443,SAMN02144050,,tissue_type: stem tip; leaf; root; callus,53739700,71225,0,No,0,0,0,No,,,2015-07-20T00:00:00Z,2014-06-24T00:00:00Z
533,GBHM01,TSA,GenBank,,PLN,Agave americana,PRJNA244686,"SAMN02821317,SAMN02821318",strain: marginata,,55699127,61548,0,No,0,0,0,No,,,2016-11-15T00:00:00Z,2016-11-15T00:00:00Z
411,GAHT01,TSA,GenBank,,PLN,Agave deserti,PRJNA193173,"SAMN01978686,SAMN01978685,SAMN01978684,SAMN01978683,SAMN01978682,SAMN01978681,SAMN01978680,SAMN01978679",,,123661629,120985,0,No,0,0,0,No,,,2013-08-26T00:00:00Z,2013-08-26T00:00:00Z
412,GAHU01,TSA,GenBank,,PLN,Agave tequilana,PRJNA193469,,,,203355422,195967,0,No,0,0,0,No,,,2013-08-26T00:00:00Z,2013-08-26T00:00:00Z
498,GBAU01,TSA,GenBank,,PLN,Agropyron cristatum,PRJNA242625,SAMN02699422,cultivar: Z559,"dev_stage: booting stage,tissue_type: flag leaf; young spike",32191448,73664,0,No,0,0,0,No,,,2015-09-30T00:00:00Z,2015-09-30T00:00:00Z
960,GFIW01,TSA,GenBank,,PLN,Agrostis scabra,PRJNA376386,"SAMN06379644,SAMN06379645,SAMN06379646,SAMN06379647,SAMN06379648,SAMN06379649,SAMN06379650,SAMN06379651,SAMN06379652",,,176001429,302185,0,No,0,0,0,No,,,2017-07-17T00:00:00Z,2017-07-17T00:00:00Z
9,GFQK01,TSA,GenBank,,PLN,Agrostis stolonifera,PRJNA392025,"SAMN07280709,SAMN07280710,SAMN07280711,SAMN07280712",,,191035722,333306,0,No,0,0,0,No,,,2017-07-10T00:00:00Z,2017-07-10T00:00:00Z
847,GEUC01,TSA,GenBank,,PLN,Agrostis stolonifera,PRJNA324407,"SAMN05202133,SAMN05202134,SAMN05202135,SAMN05202136",,,79702223,80995,0,No,0,0,0,No,,,2016-11-03T00:00:00Z,2016-11-03T00:00:00Z
966,GFJH01,TSA,GenBank,,PLN,Agrostis stolonifera,PRJNA304034,"SAMN04293497,SAMN04293552,SAMN04293553,SAMN06462054,SAMN06462055,SAMN06462056",,,169354343,275191,0,No,0,0,0,No,,,2017-03-21T00:00:00Z,2017-03-21T00:00:00Z
703,GDGG01,TSA,GenBank,,PLN,Akania bidwillii,PRJNA283303,SAMN03761946,cultivar: PE010,"dev_stage: Multiple,tissue_type: Mixture of Tissues",944729,740,0,No,0,0,0,No,,,2015-07-10T00:00:00Z,2015-07-10T00:00:00Z
364,IABG01,TSA,DDBJ,,PLN,Alkekengi officinarum var. franchetii,PRJDB4299,SAMD00042442,,"dev_stage: growing season before bearing fruit,tissue_type: leaves",65187731,75221,0,No,0,0,0,No,,,2016-08-06T00:00:00Z,2016-08-06T00:00:00Z
906,GFAR01,TSA,GenBank,,PLN,Allium ampeloprasum,PRJNA310797,SAMN04455728,cultivar: ningxiang leek,tissue_type: leaf,109267703,189708,0,No,0,0,0,No,,,2016-12-21T00:00:00Z,2016-12-21T00:00:00Z
899,GFAJ01,TSA,GenBank,,PLN,Allium ascalonicum,PRJNA310811,SAMN04455791,cultivar: ningxiang xiangcong,tissue_type: leaf,71611960,117636,0,No,0,0,0,No,,,2016-12-21T00:00:00Z,2016-12-21T00:00:00Z
380,GAAN01,TSA,GenBank,,PLN,Allium cepa,PRJNA175446,SAMN01179348,cultivar: DH5225,"dev_stage: 6 weeks after planting,tissue_type: leaves; roots; umbels; bulbs",43088103,33161,0,No,0,0,0,No,,,2013-06-24T00:00:00Z,2013-01-31T00:00:00Z
381,GAAO01,TSA,GenBank,,PLN,Allium cepa,PRJNA175449,SAMN01179349,cultivar: OH-1,"dev_stage: 6 weeks after planting,tissue_type: leaves; roots; umbels; bulbs",32047426,26994,0,No,0,0,0,No,,,2013-06-24T00:00:00Z,2013-01-31T00:00:00Z
520,GBGJ01,TSA,GenBank,,PLN,Allium cepa,PRJNA238142,"SAMN02445054,SAMN02445058",cultivar: CUDH2150,,100274014,128597,0,No,0,0,0,No,,,2014-06-16T00:00:00Z,2014-06-16T00:00:00Z
561,GBJZ01,TSA,GenBank,,PLN,Allium cepa,PRJNA248253,SAMN02796065,cultivar: light red,tissue_type: bulb,273651260,249987,0,No,0,0,0,No,,,2015-10-28T00:00:00Z,2015-10-28T00:00:00Z
580,GBRN01,TSA,GenBank,,PLN,Allium cepa,PRJNA246669,SAMN02769488,cultivar: SP3B,tissue_type: whole seedling,113967972,94051,0,No,0,0,0,No,,,2014-10-14T00:00:00Z,2014-10-14T00:00:00Z
581,GBRO01,TSA,GenBank,,PLN,Allium cepa,PRJNA246669,SAMN02769487,cultivar: H6,tissue_type: whole seedling,137859218,108450,0,No,0,0,0,No,,,2014-10-14T00:00:00Z,2014-10-14T00:00:00Z
583,GBRQ01,TSA,GenBank,,PLN,Allium cepa,PRJNA246669,"SAMN02769487,SAMN02769488",,tissue_type: whole seedling,202991716,165179,0,No,0,0,0,No,,,2014-11-03T00:00:00Z,2014-11-03T00:00:00Z
838,GEOY01,TSA,GenBank,,PLN,Allium cepa,PRJNA310814,SAMN04455897,cultivar: chaling yangcong,tissue_type: leaf,73964807,116927,0,No,0,0,0,No,,,2016-12-21T00:00:00Z,2016-12-21T00:00:00Z
844,GETF01,TSA,GenBank,,PLN,Allium cepa,PRJNA298934,SAMN04169033,"cultivar: 36122\, 36101",tissue_type: Leaf,33778981,39190,0,No,0,0,0,No,,,2017-01-05T00:00:00Z,2017-01-05T00:00:00Z
900,GFAK01,TSA,GenBank,,PLN,Allium cepa var. aggregatum,PRJNA310820,SAMN04455902,cultivar: fuyu maocong,tissue_type: leaf,53344724,83177,0,No,0,0,0,No,,,2016-12-21T00:00:00Z,2016-12-21T00:00:00Z
901,GFAL01,TSA,GenBank,,PLN,Allium chinense,PRJNA310810,SAMN04455790,cultivar: changshajiaotou,tissue_type: leaf,66791055,120869,0,No,0,0,0,No,,,2016-12-21T00:00:00Z,2016-12-21T00:00:00Z
902,GFAM01,TSA,GenBank,,PLN,Allium fistulosum,PRJNA310821,SAMN04455903,cultivar: yuanjiang dacong,tissue_type: leaf,76537437,128312,0,No,0,0,0,No,,,2016-12-21T00:00:00Z,2016-12-21T00:00:00Z
904,GFAO01,TSA,GenBank,,PLN,Allium macrostemon,PRJNA310801,SAMN04455732,,tissue_type: leaf,85473566,161670,0,No,0,0,0,No,,,2016-12-21T00:00:00Z,2016-12-21T00:00:00Z
90,GFYZ01,TSA,GenBank,,PLN,Allium sativum,PRJNA400665,SAMN07572604,cultivar: Yangxi landrance,"dev_stage: bulb expanding stage,tissue_type: development bulbs",54477874,36312,0,No,0,0,0,No,,,2018-03-07T00:00:00Z,2018-03-07T00:00:00Z
905,GFAP01,TSA,GenBank,,PLN,Allium sativum,PRJNA310793,SAMN04455718,cultivar: yuanjiangzipisuan,tissue_type: leaf,77945162,132218,0,No,0,0,0,No,,,2016-12-21T00:00:00Z,2016-12-21T00:00:00Z
903,GFAN01,TSA,GenBank,,PLN,Allium tuberosum,PRJNA310799,SAMN04455730,cultivar: Ningxiang Jiucai,tissue_type: leaf,83770790,148686,0,No,0,0,0,No,,,2016-12-21T00:00:00Z,2016-12-21T00:00:00Z
87,GFYO01,TSA,GenBank,,PLN,Alloteropsis angusta,PRJNA310121,SAMN05468380,isolate: AANG-48,"dev_stage: mature,tissue_type: Top half leaves",83838864,71815,0,No,0,0,0,No,,,2017-10-24T00:00:00Z,2017-10-24T00:00:00Z
86,GFYN01,TSA,GenBank,,PLN,Alloteropsis cimicina,PRJNA310121,"SAMN05468376,SAMN05468377",,,46133798,51003,0,No,0,0,0,No,,,2017-10-19T00:00:00Z,2017-10-19T00:00:00Z
75,GFYB01,TSA,GenBank,,PLN,Alloteropsis semialata,PRJNA310121,"SAMN04592505,SAMN04592506,SAMN04592507",,,54177492,54184,0,No,0,0,0,No,,,2017-10-24T00:00:00Z,2017-10-24T00:00:00Z
77,GFYD01,TSA,GenBank,,PLN,Alloteropsis semialata,PRJNA310121,"SAMN04592511,SAMN04592512,SAMN04592513",,,72115880,63267,0,No,0,0,0,No,,,2017-10-19T00:00:00Z,2017-10-19T00:00:00Z
78,GFYE01,TSA,GenBank,,PLN,Alloteropsis semialata,PRJNA310121,"SAMN04592508,SAMN04592509,SAMN04592510",,,85422588,75435,0,No,0,0,0,No,,,2017-10-19T00:00:00Z,2017-10-19T00:00:00Z
79,GFYF01,TSA,GenBank,,PLN,Alloteropsis semialata,PRJNA310121,"SAMN04592514,SAMN04592515,SAMN04592516",,,85030892,74625,0,No,0,0,0,No,,,2017-10-19T00:00:00Z,2017-10-19T00:00:00Z
80,GFYG01,TSA,GenBank,,PLN,Alloteropsis semialata,PRJNA310121,"SAMN04592517,SAMN04592518",,,59532525,58112,0,No,0,0,0,No,,,2017-10-19T00:00:00Z,2017-10-19T00:00:00Z
81,GFYH01,TSA,GenBank,,PLN,Alloteropsis semialata,PRJNA310121,"SAMN04592519,SAMN04592520,SAMN04592521",,,90646791,74384,0,No,0,0,0,No,,,2017-10-19T00:00:00Z,2017-10-19T00:00:00Z
82,GFYI01,TSA,GenBank,,PLN,Alloteropsis semialata,PRJNA310121,"SAMN04592523,SAMN04592524,SAMN04592525",,,70320457,65321,0,No,0,0,0,No,,,2017-10-19T00:00:00Z,2017-10-19T00:00:00Z
83,GFYJ01,TSA,GenBank,,PLN,Alloteropsis semialata,PRJNA310121,"SAMN04592528,SAMN04592529,SAMN04592530",,,81636478,74016,0,No,0,0,0,No,,,2017-10-19T00:00:00Z,2017-10-19T00:00:00Z
84,GFYK01,TSA,GenBank,,PLN,Alloteropsis semialata,PRJNA310121,"SAMN04592535,SAMN04592536,SAMN04592537",,,94396929,87344,0,No,0,0,0,No,,,2017-10-19T00:00:00Z,2017-10-19T00:00:00Z
85,GFYL01,TSA,GenBank,,PLN,Alloteropsis semialata,PRJNA310121,"SAMN04592538,SAMN04592539,SAMN04592540",,,61752141,57334,0,No,0,0,0,No,,,2017-10-19T00:00:00Z,2017-10-19T00:00:00Z
13,GFQR01,TSA,GenBank,,PLN,Aloe vera,PRJNA359629,SAMN06191589,,tissue_type: leaf,90461909,141246,0,No,0,0,0,No,,,2018-07-09T00:00:00Z,2018-07-09T00:00:00Z
999,GFOB01,TSA,GenBank,,PLN,Aloe vera,PRJNA359629,SAMN06191590,isolate: Root,tissue_type: root,83736760,111627,0,No,0,0,0,No,,,2018-07-20T00:00:00Z,2018-07-20T00:00:00Z
7,GFQG01,TSA,GenBank,,PLN,Amaranthus palmeri,PRJNA390774,"SAMN07260017,SAMN07260018,SAMN07260019,SAMN07260020,SAMN07260021,SAMN07260022,SAMN07260023,SAMN07260024,SAMN07260025,SAMN07260026,SAMN07260027,SAMN07260028",,,49147628,72780,0,No,0,0,0,No,,,2018-05-01T00:00:00Z,2018-05-01T00:00:00Z
464,GAPX01,TSA,GenBank,,PLN,Amaranthus tricolor,PRJNA202395,SAMN02142107,,"dev_stage: Young seedling,tissue_type: In vitro plantlet",39518583,45529,0,No,0,0,0,No,,,2013-12-06T00:00:00Z,2013-12-06T00:00:00Z
465,GAPY01,TSA,GenBank,,PLN,Amaranthus tricolor,PRJNA202395,SAMN02142109,,"dev_stage: Flower bud,tissue_type: In vitro plantlet",49377942,66172,0,No,0,0,0,No,,,2013-12-06T00:00:00Z,2013-12-06T00:00:00Z
466,GAPZ01,TSA,GenBank,,PLN,Amaranthus tricolor,PRJNA202395,SAMN02142110,,"dev_stage: Flowering,tissue_type: In vitro plantlet",48980724,66486,0,No,0,0,0,No,,,2013-12-06T00:00:00Z,2013-12-06T00:00:00Z
467,GAQA01,TSA,GenBank,,PLN,Amaranthus tricolor,PRJNA202395,SAMN02142108,,"dev_stage: Adult seedling,tissue_type: In vitro plantlet",29222106,59151,0,No,0,0,0,No,,,2013-12-06T00:00:00Z,2013-12-06T00:00:00Z
162,GGGT01,TSA,GenBank,,PLN,Amaranthus tuberculatus,PRJNA432348,"SAMN08475736,SAMN08475773,SAMN08475776,SAMN08480331,SAMN08480518,SAMN08481920,SAMN08481921,SAMN08481990,SAMN08481991,SAMN08481993,SAMN08482010,SAMN08482011,SAMN08482012,SAMN08482028,SAMN08482029,SAMN08482152",,,149997699,113862,0,No,0,0,0,No,,,2018-02-21T00:00:00Z,2018-02-21T00:00:00Z
54,GFWB01,TSA,GenBank,,PLN,Ambrosia artemisiifolia,PRJNA335689,SAMN07541864,"isolate: Early developmental stage\, phase 1-3","dev_stage: Early developmental stage,tissue_type: Female flower",89882431,109444,0,No,0,0,0,No,,,2017-09-11T00:00:00Z,2017-09-11T00:00:00Z
63,GFWS01,TSA,GenBank,,PLN,Ambrosia artemisiifolia,PRJNA335689,SAMN07541865,"isolate: Late developmental stage\, phase 4-9","dev_stage: Late developmental stage,tissue_type: Female flower",76261049,97227,0,No,0,0,0,No,,,2017-09-21T00:00:00Z,2017-09-21T00:00:00Z
329,HAAJ01,TSA,ENA,,PLN,Ambrosia artemisiifolia,PRJEB1470,"SAMEA1713725,SAMEA1713729",,"dev_stage: mature pollen,tissue_type: pollen",1655580,2846,0,No,0,0,0,No,,,2013-04-21T00:00:00Z,2013-04-21T00:00:00Z
893,GEZL01,TSA,GenBank,,PLN,Ambrosia artemisiifolia,PRJNA335689,"SAMN05449063,SAMN05462132,SAMN05465218",,,132435591,218533,0,No,0,0,0,No,,,2016-11-02T00:00:00Z,2016-09-19T00:00:00Z
837,GEOH01,TSA,GenBank,,PLN,Ambrosia trifida,PRJNA267208,SAMN03195640,,"dev_stage: Five node stage,tissue_type: Leaf",183354935,246544,0,No,0,0,0,No,,,2016-06-27T00:00:00Z,2016-06-27T00:00:00Z
495,GAZZ01,TSA,GenBank,,PLN,Ammopiptanthus mongolicus,PRJNA238500,SAMN02593582,,tissue_type: Mesophyll,54484692,81930,0,No,0,0,0,No,,,2016-03-03T00:00:00Z,2016-03-03T00:00:00Z
684,GDAH01,TSA,GenBank,,PLN,Ammopiptanthus mongolicus,PRJNA207977,"SAMN02194704,SAMN02194705",,,6901320,10281,0,No,0,0,0,No,,,2016-08-02T00:00:00Z,2016-08-02T00:00:00Z
927,GFDK01,TSA,GenBank,,PLN,Ananas comosus,PRJNA356904,"SAMN06158134,SAMN06158135,SAMN06158136,SAMN06158137",,,41323148,60988,0,No,0,0,0,No,,,2017-01-27T00:00:00Z,2017-01-27T00:00:00Z
287,GHJB01,TSA,GenBank,,PLN,Ananas comosus var. bracteatus,PRJNA494788,"SAMN10180175,SAMN10180176,SAMN10180177,SAMN10180178,SAMN10180179",,,57302746,23483,0,No,0,0,0,No,,,2019-04-18T00:00:00Z,2019-04-18T00:00:00Z
548,GBJB01,TSA,GenBank,,PLN,Andrographis paniculata,PRJNA247458,SAMN02777339,cultivar: Megha,tissue_type: Leaf,88933560,83800,0,No,0,0,0,No,,,2015-03-26T00:00:00Z,2015-03-26T00:00:00Z
601,GBSY01,TSA,GenBank,,PLN,Andrographis paniculata,PRJNA188661,SAMN01915660,strain: IC-111287,,19822291,22402,0,No,0,0,0,No,,,2016-11-21T00:00:00Z,2016-11-21T00:00:00Z
818,GEKW01,TSA,GenBank,,PLN,Anemone flaccida,PRJNA316052,SAMN04574077,"cultivar: Changyang,isolate: Tonggubao","dev_stage: full bloom,tissue_type: leaves; rhizomes",61514989,46945,0,No,0,0,0,No,,,2016-04-05T00:00:00Z,2016-04-05T00:00:00Z
36,GFTZ01,TSA,GenBank,,PLN,Anneslea fragrans,PRJNA396266,SAMN07425685,isolate: transplanted from Hainai island,"dev_stage: seedling,tissue_type: Fresh leaves",193062910,445143,0,No,0,0,0,No,,,2018-09-07T00:00:00Z,2018-09-07T00:00:00Z
536,GBIE01,TSA,GenBank,,PLN,Anthoxanthum odoratum,PRJNA255182,"SAMN02910590,SAMN02910591,SAMN02910592,SAMN02910593",,,61916221,83703,0,No,0,0,0,No,,,2015-02-18T00:00:00Z,2014-08-13T00:00:00Z
744,GDJX01,TSA,GenBank,,PLN,Anthurium amnicola,PRJNA288827,"SAMN03839010,SAMN03839011,SAMN03839012,SAMN03839013,SAMN03839014,SAMN03839015,SAMN03839016,SAMN03839017,SAMN03839018,SAMN03839019,SAMN03839020,SAMN03839021",,,52452095,27959,27959,Yes,0,0,0,No,,,2016-09-08T00:00:00Z,2016-09-08T00:00:00Z
226,GGPS01,TSA,GenBank,,PLN,Anthurium andraeanum,PRJNA428586,"SAMN08322140,SAMN08322141,SAMN08322142,SAMN08322143,SAMN08322144,SAMN08322145",,,109929025,110918,0,No,0,0,0,No,,,2018-06-08T00:00:00Z,2018-06-08T00:00:00Z
566,GBKP01,TSA,GenBank,,PLN,Anthurium andraeanum,PRJNA241042,SAMN02687978,cultivar: sonate,tissue_type: leaf color mutant,31199854,40198,0,No,0,0,0,No,,,2014-10-15T00:00:00Z,2014-10-15T00:00:00Z
815,GEHN01,TSA,GenBank,,PLN,Apios americana,PRJNA313331,"SAMN04525986,SAMN04525987,SAMN04525988,SAMN04525989,SAMN04525990,SAMN04525991,SAMN04525992,SAMN04525993,SAMN04525994,SAMN04525995,SAMN04525996,SAMN04525997,SAMN04525998,SAMN04525999",cultivar: LA-2127,"dev_stage: Flower,tissue_type: flower",113183555,96449,0,No,0,0,0,No,,,2016-06-10T00:00:00Z,2016-06-10T00:00:00Z
239,GGSI01,TSA,GenBank,,PLN,Aquilaria malaccensis,PRJNA449813,"SAMN08918380,SAMN08918381",,,128239802,140168,0,No,0,0,0,No,,,2018-07-30T00:00:00Z,2018-07-30T00:00:00Z
289,GHJS01,TSA,GenBank,,PLN,Aquilaria malaccensis,PRJNA497968,"SAMN10274159,SAMN10274162,SAMN10274164",,,123308111,127993,0,No,0,0,0,No,,,2019-05-03T00:00:00Z,2019-05-03T00:00:00Z
39,GFUL01,TSA,GenBank,,PLN,Arabidopsis halleri subsp. halleri,PRJNA388549,SAMN07204409,,"dev_stage: vegetative,tissue_type: root and shoot",43761752,34818,0,No,0,0,0,No,,,2019-01-16T00:00:00Z,2019-01-16T00:00:00Z
185,GGJX01,TSA,GenBank,,PLN,Arabidopsis thaliana,PRJNA437326,SAMN08649125,,"dev_stage: Pre-flowering,tissue_type: leaf",74536800,63997,0,No,0,0,0,No,,,2018-08-08T00:00:00Z,2018-08-08T00:00:00Z
337,HACS01,TSA,ENA,,PLN,Arabis verna,PRJEB9424,"SAMEA3402044,SAMEA3402045,SAMEA3402046",,"isolation_source: calcareous soil,tissue_type: leaf",20685471,19839,0,No,0,0,0,No,,,2017-09-29T00:00:00Z,2017-07-21T00:00:00Z
538,GBIP01,TSA,GenBank,,PLN,Arachis duranensis,PRJNA248910,SAMN02803902,cultivar: KSSc 38901 (PI 497483),"dev_stage: leaf - unopened tetrafoliates\, root - root tips of plants < 30 DAP\, pods - yellow\, brown\, and black mesocarp,tissue_type: leaf\, pod\, root",24355435,30807,0,No,0,0,0,No,,,2015-02-02T00:00:00Z,2014-09-05T00:00:00Z
